Hour,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
0,8.75,8.25,0.7334144976729227,7.444097222222223,10.16736111111111,6.5,10.0,8.555555555555555,8.0,0.7198373322025272,7.277777777777778,10.055555555555555,6.5,9.5,0.19444444444444445,0.0,0.10211605943413728,0.013888888888888888,0.4027777777777778,0.0,0.5,,,,,,,,10
1,8.458333333333334,8.0,0.7398452755448478,7.235763888888889,10.000347222222222,6.75,9.25,7.986111111111111,7.75,0.726615908862685,6.638541666666668,9.472569444444444,6.0,9.0,0.4722222222222222,0.5,0.12108052620946315,0.25,0.7083333333333334,0.25,0.5,,,,,,,,10
2,8.180555555555555,7.5,0.7267979287786228,6.915972222222223,9.680902777777778,6.25,9.0,7.861111111111111,7.25,0.7399085934298867,6.55451388888889,9.472222222222221,5.5,9.25,0.3194444444444444,0.5,0.0916185539922242,0.1527777777777778,0.5003472222222219,0.0,0.5,,,,,,,,10
3,7.861111111111111,7.25,0.741515798221687,6.513888888888889,9.347569444444444,5.75,9.0,7.513888888888889,6.75,0.7328694721021812,6.1937500000000005,8.958680555555556,5.5,8.75,0.3472222222222222,0.5,0.09305111337419003,0.16666666666666666,0.5277777777777778,0.0,0.5,,,,,,,,10
4,7.708333333333333,7.25,0.73392157143381,6.374305555555556,9.139236111111112,5.743750000000006,8.5,7.25,6.5,0.7534313042067805,5.958333333333333,8.847222222222221,5.0,8.5,0.4583333333333333,0.5,0.0899183933370557,0.2916666666666667,0.6388888888888888,0.25,0.5,,,,,,,,10
5,7.458333333333333,6.75,0.7411849693093883,6.138888888888889,9.069791666666667,5.25,8.25,7.222222222222222,6.5,0.7268775481589982,5.944444444444445,8.653125000000001,5.0,8.25,0.2361111111111111,0.25,0.08564904189437876,0.08333333333333333,0.4027777777777778,0.0,0.5,,,,,,,,10
6,7.263888888888889,6.75,0.7363806035590971,5.833333333333333,8.764236111111112,5.0,7.75,6.944444444444445,6.0,0.7318648114869091,5.665972222222223,8.430555555555555,5.0,8.0,0.3194444444444444,0.5,0.10187289344940137,0.1388888888888889,0.5138888888888888,0.4937500000000057,0.5,,,,,,,,10
7,7.069444444444445,6.75,0.7311528127731591,5.722222222222222,8.666666666666666,5.0,7.5,6.75,6.5,0.7301608868153106,5.444097222222223,8.305902777777778,4.5,7.5,0.3194444444444444,0.5,0.10755725270863549,0.09722222222222222,0.5138888888888888,0.0,0.5,,,,,,,,10
8,7.027777777777778,6.5,0.7348859225920618,5.777777777777778,8.542013888888889,5.0,7.5,6.638888888888889,6.0,0.7244623378839964,5.305555555555555,8.069444444444445,4.25,7.5,0.3888888888888889,0.5,0.09576573415237051,0.20833333333333334,0.5694444444444444,0.25,0.5,,,,,,,,10
9,7.194444444444445,7.0,0.7424962662986071,5.819097222222223,8.847222222222221,4.5,7.5,6.458333333333333,5.75,0.7287668972148711,5.137847222222224,7.9194444444444425,4.5,7.0,0.7361111111111112,0.5,0.11866671868496571,0.5135416666666669,0.9722222222222222,0.5,1.0,,,,,,,,10
10,7.944444444444445,7.5,0.7283319106932215,6.652777777777778,9.500347222222222,5.5,9.0,7.0,6.75,0.7477479415732177,5.596875000000001,8.500694444444443,4.5,7.5,0.9444444444444444,1.0,0.13180339160583351,0.6940972222222225,1.1944444444444444,0.5,1.5,,,,,,,,10
11,8.857142857142858,9.0,0.6631258510703252,7.699642857142858,10.214999999999998,7.5,10.0,7.742857142857143,7.5,0.6731249801452611,6.4992857142857146,9.071428571428571,6.0,9.5,1.1142857142857143,1.0,0.13454828611512898,0.8571428571428571,1.3714285714285714,1.0,1.5,,,,,,,,10
12,10.428571428571429,10.0,0.7032765026187455,9.1425,11.742857142857142,9.0,12.0,9.342857142857143,9.5,0.6822390930399905,8.185714285714285,10.671785714285713,7.5,10.5,1.0857142857142856,1.5,0.13824487208523556,0.8285714285714286,1.3428571428571427,1.0,1.5,,,,,,,,10
13,11.957142857142857,12.0,0.7063253911783784,10.585357142857143,13.4,10.5,13.5,11.157142857142857,11.0,0.7364380057917638,9.842500000000001,12.585714285714285,9.5,13.0,0.8,1.0,0.16927924321922622,0.4714285714285714,1.1285714285714286,0.5,1.5,,,,,,,,10
14,13.5,13.5,0.7658685408402277,11.942857142857143,15.100357142857142,11.0,15.5,12.7,13.0,0.7520839395312471,11.328214285714287,14.18642857142857,11.5,14.0,0.8,1.0,0.26025197873786626,0.27107142857142885,1.3003571428571425,0.5,1.0,,,,,,,,10
15,15.305555555555555,15.0,0.8828789886739719,13.638194444444446,16.97222222222222,13.75,17.5,14.2,15.0,0.7749220616814778,12.699642857142857,15.62892857142857,12.5,16.5,0.7428571428571429,1.0,0.21041318752348556,0.32857142857142857,1.1714285714285715,0.0,1.0,,,,,,,,10
16,16.01388888888889,15.5,0.8543739263323014,14.124652777777778,17.625,14.25,18.5,16.208333333333332,16.0,0.891399603975823,14.513194444444446,18.01423611111111,14.5,19.0,-0.19444444444444445,0.0,0.24902809315749463,-0.6805555555555556,0.2361111111111111,-0.5,0.5,,,,,,,,10
17,15.625,15.75,0.8457116379731183,13.916319444444444,17.180902777777778,14.0,18.0,17.333333333333332,17.25,0.9085135251589959,15.541319444444444,18.97222222222222,15.75,20.0,-1.7083333333333333,-1.0,0.2530567098748785,-2.2083333333333335,-1.2638888888888888,-2.0,-1.0,,,,,,,,10
18,15.444444444444445,15.25,0.872138809073859,13.805555555555555,17.084027777777777,14.243750000000006,18.0,17.541666666666668,18.0,1.0286327417792598,15.652430555555556,19.59722222222222,16.493750000000006,20.5,-2.0972222222222223,-1.5,0.4210811125554909,-2.875347222222222,-1.3194444444444444,-3.25,-1.0,,,,,,,,10
19,14.319444444444445,14.5,0.8423683491359953,12.73611111111111,15.972569444444444,13.5,16.0,17.944444444444443,19.0,1.1264809965667875,15.791666666666666,20.222569444444442,14.5,21.0,-3.625,-3.0,0.5550543373943829,-4.694444444444445,-2.5690972222222226,-5.0,-1.5,,,,,,,,10
20,12.777777777777779,12.75,0.7936865071329726,11.25,14.375,11.5,14.5,15.63888888888889,15.5,0.9911535509455778,13.762500000000001,17.625,13.5,19.0,-2.861111111111111,-1.5,0.4812397643154371,-3.8059027777777774,-1.9302083333333337,-3.7562499999999943,-1.0,,,,,,,,10
21,11.194444444444445,11.25,0.7365938818217358,9.819444444444445,12.667013888888889,9.25,12.75,12.055555555555555,12.25,0.7839606854052205,10.472222222222221,13.569791666666667,10.25,13.5,-0.8611111111111112,-0.5,0.12694691915200992,-1.125,-0.625,-1.0,-0.5,,,,,,,,10
