day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
0,14.761083333333332,15.095,0.3649924205916776,14.072582291666667,15.449378125,14.094,15.095,14.166666666666666,14.25,0.5024096525119697,13.166666666666666,15.020833333333334,13.5,14.5,0.5944166666666666,0.594,0.17770755283822015,0.282540625,0.968625,0.098,1.0915,89.80891666666666,90.5075,0.9681011724674494,87.95444270833333,91.49884895833333,85.618,93.275,1
1,13.696833333333332,13.593,0.5483615703491164,12.715525000000001,14.761475,12.0905,15.602249999999994,13.479166666666666,13.5,0.5303122940561091,12.436979166666667,14.520833333333334,12.5,15.5,0.21766666666666667,0.0965,0.0866692167963725,0.05108125,0.38554375,0.092,0.587,96.14104166666668,96.732,0.526064725997676,95.07415937500001,97.18412083333332,95.259,97.94800000000001,1
2,9.731958333333333,9.085,0.3878779058570533,9.001458333333334,10.566752083333332,8.083,10.588,9.541666666666666,8.75,0.47004149780826343,8.686458333333334,10.438020833333333,7.993750000000006,11.0,0.19029166666666666,0.582,0.13417249711653997,-0.08025208333333333,0.43954166666666666,-0.409,0.585,100.81687500000002,102.013,0.6487085339363216,99.52364270833334,102.04100729166666,100.114,102.484,1
3,10.900708333333332,10.337499999999999,0.4688203878714504,9.981896875,11.819001041666665,9.586,12.090499999999999,10.666666666666666,10.0,0.5389424247524661,9.708333333333334,11.729166666666666,9.25,12.0,0.23404166666666662,0.0915,0.1254592358180662,-0.014677083333333354,0.46341979166666664,0.086,0.585,95.77041666666666,97.463,1.0929259805556049,93.73173229166666,97.75761041666667,94.766,98.674,1
4,12.403625,12.091,0.25005239894710646,11.882040625,12.841793749999999,12.091,12.591,11.875,12.0,0.30581620415641436,11.291666666666666,12.479687499999999,11.5,12.25,0.528625,0.591,0.10104269460107633,0.3411666666666666,0.7171104166666662,0.094,0.5914999999999999,96.21858333333334,96.971,0.7835544127972288,94.80739062500001,97.66917083333334,93.774,99.635,1
5,12.799958333333334,13.092,0.26777457450363706,12.299124999999998,13.300626041666664,12.091,13.593,12.375,12.5,0.24311162224288094,11.958333333333334,12.854166666666666,11.5,13.0,0.4249583333333333,0.592,0.07183451390720914,0.2793312499999999,0.5515249999999996,0.09393750000000006,0.5925,99.75304166666666,100.35249999999999,0.546481374834,98.520165625,100.701228125,99.38900000000001,101.067,1
6,11.401874999999999,11.59,0.27600853479045523,10.900958333333335,11.923585416666667,10.588,11.59,11.020833333333334,11.0,0.3303478166292171,10.395833333333334,11.646354166666667,10.0,11.75,0.38104166666666667,0.5865,0.11212870256544336,0.17172083333333374,0.568584375,0.091,0.59,100.25875,101.067,0.4357215665014673,99.38216875,101.00104791666668,99.39500000000001,102.013,1
7,13.926666666666668,14.094,0.1945453792547435,13.551166666666667,14.261018749999998,13.593,14.594,13.291666666666666,13.5,0.21049602105319487,12.875,13.666666666666666,13.0,14.0,0.6350000000000001,0.594,0.07914522974446628,0.48900000000000005,0.7809604166666667,0.593,0.594,96.05766666666666,98.432,0.9368003102348115,94.2566375,97.75217916666669,93.774,99.635,1
8,14.948916666666667,15.345500000000001,0.28825412070578416,14.427373958333334,15.470416666666665,14.094,16.096,14.625,14.75,0.2486375920369103,14.145833333333334,15.104166666666666,13.75,15.5,0.3239166666666667,0.3455,0.06031952710558618,0.21828958333333376,0.4286270833333333,0.094,0.596,97.28612500000001,98.432,0.6940786832366708,95.94474687499999,98.59782291666667,96.732,99.155,1
9,14.385750000000002,14.344,0.2213399350497468,13.989166666666668,14.824478124999999,13.593,15.345500000000001,14.145833333333334,14.0,0.2508665537248395,13.6875,14.604166666666666,13.5,15.0,0.23991666666666664,0.0955,0.09261760867782146,0.07308124999999999,0.42716770833333334,0.093,0.5934999999999999,93.600625,93.5245,0.9976600100723008,91.52443229166666,95.44300416666668,92.776,95.50450000000001,1
10,19.832666666666665,19.599,0.5301663590364519,18.7986,20.766735,19.599,21.601,19.033333333333335,19.0,0.5509011376754122,17.933333333333334,20.0,16.5,20.5,0.7993333333333333,0.599,0.3678899766514914,0.26633,1.5672916666666659,0.099,1.1,88.76993333333334,88.208,1.7389884373959552,85.36564666666666,92.14412833333333,82.989,94.766,1
0,13.696791666666664,14.01,0.3338311752184108,13.071291666666667,14.301458333333334,13.509,14.51,13.458333333333334,13.75,0.4513633400424757,12.561458333333334,14.270833333333334,13.0,14.5,0.23845833333333336,0.010499999999999999,0.1531932210249369,-0.03220937499999999,0.5512968749999996,0.009000000000000001,0.509,94.98612500000002,95.1185,0.20994538034081445,94.55584583333335,95.37466666666666,94.341,95.892,2
1,13.5715,14.01,0.5061225828201896,12.674833333333332,14.50979270833333,12.508,15.511,13.520833333333334,13.75,0.5058347658934422,12.520833333333334,14.5,12.5,15.5,0.05066666666666667,0.0095,0.06679030202390497,-0.07475104166666666,0.176125,0.006,0.011,97.08516666666667,96.919,0.2332458324547041,96.65804895833334,97.53108541666667,96.406,97.435375,2
2,9.275583333333332,9.0045,0.3834930696644678,8.544979166666668,10.005542708333332,8.003,10.006,9.208333333333334,8.75,0.4287205715876199,8.354166666666666,10.125,7.5,10.5,0.06725,0.005,0.07537484227397154,-0.0774625,0.21237604166666665,0.002,0.502,99.20258333333332,99.205,0.18486126718126955,98.84470208333332,99.56008333333334,98.446,99.96,2
3,10.360208333333333,10.256,0.376884073684443,9.587941666666667,11.027624999999999,9.505,11.007,10.583333333333334,10.25,0.5006035005214202,9.541666666666666,11.541666666666666,9.5,11.756249999999994,-0.22312500000000002,0.004,0.14394879212912762,-0.5137927083333335,0.06791666666666665,-0.4935,0.2545,99.47695833333334,99.457,0.13034943948399733,99.22487291666667,99.72945937499999,98.953,99.96,2
4,11.507124999999997,11.507,0.22946075974484428,11.069208333333334,11.924208333333333,11.507,11.507,11.354166666666666,11.5,0.26320069811442887,10.832812500000001,11.771354166666667,11.0,11.5,0.15295833333333334,0.008,0.06357046983200483,0.028333333333333346,0.25787604166666617,0.007,0.506,98.95133333333332,98.953,0.1395820062666745,98.675984375,99.205034375,98.953,98.953,2
