elapsed_hour,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
80,9.005,9.005,0.0,9.005,9.005,6.0,6.0,0.0,6.0,6.0,3.005,3.005,0.0,3.005,3.005,92.251,92.251,0.0,92.251,92.251
81,9.811,9.7945,0.1370018248053653,9.5755,10.0465,7.0,6.25,0.8416254115301732,6.0,8.625,2.811,3.5755,0.7683442153965456,1.2715,3.585,82.5015,91.944,10.101471481092908,62.63125,93.72749999999999
82,10.687750000000001,10.7965,0.23383162567682453,10.3035,11.048,10.25,10.0,0.25,10.0,10.75,0.43775,0.3275,0.2529207303352838,0.038000000000000006,0.8374999999999999,83.61149999999999,93.80799999999999,10.86424497683418,61.61000000000001,95.15
83,12.064749999999998,12.0485,0.2804069587224965,11.58,12.549499999999998,11.625,11.5,0.375,11.0,12.25,0.43975,0.58,0.14398690623340257,0.15325,0.59,84.36375,93.80799999999999,10.29641492118333,63.73425,95.549
84,14.1935,13.802,0.47817874970210333,13.584,15.095500000000001,13.75,13.75,0.4330127018922193,13.0,14.5,0.4435,0.584,0.33377375071546095,-0.219,0.9655,82.66624999999999,89.7195,9.143454984987896,65.44324999999999,94.53150000000001
85,15.57,15.336500000000001,0.3667580946618633,15.0425,16.216500000000003,16.0,16.0,0.28867513459481287,15.5,16.5,-0.43,-0.4575,0.204967070525975,-0.7827500000000001,-0.049749999999999996,92.87975,94.264,3.150092468880873,86.71050000000001,97.88624999999999
86,16.070750000000004,15.8375,0.36652475473470214,15.543499999999998,16.71675,16.75,17.0,0.47871355387816905,15.993750000000006,17.5,-0.67925,-0.6635,0.3073522341440409,-1.1625,-0.196,93.33475,94.5315,4.235440795143601,85.25575,100.217
87,16.321,16.338,0.34109407304535067,15.783249999999999,16.8485,16.875,17.0,0.3145764348029479,16.25,17.375,-0.554,-0.4445,0.31736440674194494,-1.168,-0.049499999999999995,93.50125,95.05799999999999,3.77628588198775,86.18550000000002,99.26024999999998
88,16.5715,16.588500000000003,0.42614600393135993,15.783249999999999,17.34275,16.75,16.75,0.3227486121839514,16.25,17.25,-0.1785,-0.16249999999999998,0.16078064767460873,-0.45599999999999996,0.099,93.26750000000001,95.05799999999999,3.4222689963434116,86.58225000000002,98.52074999999999
89,16.196,16.588500000000003,0.5746574341872444,15.032499999999999,16.967000000000002,16.875,17.0,0.5153882032022076,15.875,17.75,-0.679,-0.663,0.1555297399213411,-0.9465000000000001,-0.4115,92.27574999999999,94.7835,2.5687961309726393,87.14325,94.91315625000001
90,14.9445,15.096,0.33140974135753276,14.281749999999999,15.45575,15.375,16.0,0.625,14.125,16.0,-0.4305,-0.6635,0.3332902888874302,-0.9040000000000001,0.15974374999999727,91.12474999999999,92.797,2.5325216805587263,86.71050000000001,94.82175
91,14.318249999999999,14.3445,0.33583661081940797,13.6555,14.834499999999998,14.125,14.25,0.42695628191498325,13.375,14.75,0.19324999999999998,0.0945,0.10535050624779488,0.07999999999999999,0.40525,93.8155,95.842,2.7842075623056557,88.28443750000001,97.31424999999999
92,13.943,14.084,0.14474748126766596,13.65525,14.0945,13.5,13.5,0.2041241452319315,13.125,13.875,0.443,0.5515,0.12464014869481929,0.20399999999999996,0.5945,93.217,93.904,2.1715068117170016,89.74274999999999,96.99825
93,13.692499999999999,13.593499999999999,0.12871706698543642,13.53025,13.95375,13.375,13.5,0.3145764348029479,12.75,13.875,0.3175,0.0935,0.23054591010613626,0.079,0.7799999999999999,95.2355,96.372,1.9378082765502538,91.65050000000001,97.91
94,13.69275,13.584,0.13497492050994744,13.53025,13.964,13.25,13.25,0.14433756729740643,13.0,13.5,0.4427500000000001,0.3015,0.23911621128647886,0.08399999999999999,0.8440000000000001,95.69900000000001,95.8335,2.377189622222004,91.2525,100.011
95,13.818,13.834,0.1601879104884843,13.5415,14.0945,13.375,13.5,0.125,13.125,13.5,0.443,0.5515,0.12464014869481929,0.204,0.5945,95.609,95.8485,0.9555786205226644,94.0675,97.1505
96,13.69275,13.584,0.13497492050994744,13.530125,13.964,13.375,13.5,0.125,13.125,13.5,0.31775000000000003,0.3015,0.13612762088079944,0.08399999999999999,0.5515,95.577,95.56700000000001,1.974677231009328,92.04374999999999,99.12025
97,13.943249999999999,14.052,0.12468451855249181,13.703999999999999,14.09475,13.5,13.5,0.0,13.5,13.5,0.44325000000000003,0.552,0.12468451855249178,0.204,0.59475,96.34700000000001,96.0995,1.5677218609604617,93.555,99.28275000000001
98,14.3185,14.334,0.16017152264577703,14.042,14.594999999999999,13.75,13.75,0.14433756729740643,13.5,14.0,0.5685,0.585,0.2215210674706434,0.1565,0.9640000000000002,96.34325000000001,96.0995,1.7684198867444738,93.28225,99.648
99,14.693999999999999,14.8025,0.24857359741801496,14.292,15.096,14.25,14.25,0.14433756729740643,14.0,14.5,0.444,0.33549999999999996,0.25371670553329095,0.041999999999999996,0.846,97.08425000000001,96.0995,1.653648762333365,94.78,100.37325
100,14.81925,14.835,0.1603321422339681,14.526250000000001,15.096,14.375,14.25,0.23935677693908453,14.0,14.75,0.44425,0.33599999999999997,0.2499544541844907,0.0535,0.8454999999999999,96.69250000000001,95.8335,2.2110024310253467,94.02449999999999,101.06549999999999
101,14.81925,14.835,0.1603321422339681,14.542499999999999,15.096,14.375,14.5,0.125,14.125,14.5,0.44425,0.585,0.1448351793131305,0.15625,0.596,96.6975,95.82400000000001,1.8403054320773313,94.05775,100.21075
102,14.94425,15.0525,0.12474198371037734,14.68375,15.096499999999999,14.5,14.5,0.2041241452319315,14.125,14.875,0.44425,0.5425,0.11716325860382452,0.21649999999999997,0.585,97.42875000000001,95.822,1.8054931632382314,95.40450000000001,101.05975
103,15.194749999999999,15.3355,0.25929949704283417,14.7815,15.597000000000001,14.625,14.5,0.125,14.5,14.875,0.56975,0.5865,0.22193932166247604,0.157,0.9657500000000001,97.7935,96.312,1.8632933880631912,95.56700000000001,101.664
104,14.94425,15.085,0.14483517931313053,14.65625,15.096499999999999,14.625,14.5,0.125,14.5,14.875,0.31925,0.33599999999999997,0.15450910167365545,0.053500000000000006,0.585,98.275,96.799,2.0619926446684214,95.56700000000001,102.16799999999999
