rock,date_time,elapsed_date_time,temperature_in_C,temperature_out_C,temperature_diff_C,humidity_perc_RH
1,5/05/2025 11:00,1/01/2000 11:00,21.601,24.5,-2.899,54.008
1,5/05/2025 12:00,1/01/2000 12:00,22.601,23,-0.399,45.988
1,5/05/2025 13:00,1/01/2000 13:00,22.601,22.5,0.101,44.731
1,5/05/2025 14:00,1/01/2000 14:00,22.601,22,0.601,44.731
1,5/05/2025 15:00,1/01/2000 15:00,22.601,22,0.601,44.101
1,5/05/2025 16:00,1/01/2000 16:00,22.601,22,0.601,44.101
1,5/05/2025 17:00,1/01/2000 17:00,22.601,22,0.601,44.101
1,5/05/2025 18:00,1/01/2000 18:00,22.601,22,0.601,44.731
1,5/05/2025 19:00,1/01/2000 19:00,22.601,22,0.601,44.731
1,5/05/2025 20:00,1/01/2000 20:00,22.101,22,0.101,44.731
1,5/05/2025 21:00,1/01/2000 21:00,22.101,21.5,0.601,44.731
1,5/05/2025 22:00,1/01/2000 22:00,21.601,21.5,0.101,44.731
1,5/05/2025 23:00,1/01/2000 23:00,21.601,21,0.601,44.731
1,6/05/2025 0:00,2/01/2000 0:00,21.1,21,0.1,44.731
1,6/05/2025 1:00,2/01/2000 1:00,21.1,20.5,0.6,44.731
1,6/05/2025 2:00,2/01/2000 2:00,21.1,20.5,0.6,44.731
1,6/05/2025 3:00,2/01/2000 3:00,20.6,20.5,0.1,45.36
1,6/05/2025 4:00,2/01/2000 4:00,20.6,20,0.6,44.731
1,6/05/2025 5:00,2/01/2000 5:00,20.1,20,0.1,45.36
1,6/05/2025 6:00,2/01/2000 6:00,20.1,19.5,0.6,45.36
1,6/05/2025 7:00,2/01/2000 7:00,20.1,19.5,0.6,45.36
1,6/05/2025 8:00,2/01/2000 8:00,20.6,19.5,1.1,45.36
1,6/05/2025 9:00,2/01/2000 9:00,20.6,20,0.6,45.36
1,6/05/2025 10:00,2/01/2000 10:00,21.601,20.5,1.101,46.614
1,6/05/2025 11:00,2/01/2000 11:00,20.6,21.5,-0.9,46.614
1,6/05/2025 12:00,2/01/2000 12:00,18.599,20,-1.401,45.988
1,6/05/2025 13:00,2/01/2000 13:00,20.1,18.5,1.6,45.36
1,6/05/2025 14:00,2/01/2000 14:00,19.599,19.5,0.099,46.614
1,6/05/2025 15:00,2/01/2000 15:00,19.099,19,0.099,45.988
