rock,date_time,elapsed_date_time,temperature_in_C,temperature_out_C,temperature_diff_C,humidity_perc_RH
1,8/05/2025 9:00,4/01/2000 9:00,10.087,6.5,3.587,90.254
1,8/05/2025 10:00,4/01/2000 10:00,11.089,10,1.089,93.275
1,8/05/2025 11:00,4/01/2000 11:00,12.591,12,0.591,93.275
1,8/05/2025 12:00,4/01/2000 12:00,15.596,14.5,1.096,85.618
1,8/05/2025 13:00,4/01/2000 13:00,16.597,16.5,0.097,84.045
1,8/05/2025 14:00,4/01/2000 14:00,17.097,17.5,-0.403,81.927
1,8/05/2025 15:00,4/01/2000 15:00,17.097,17,0.097,82.989
1,8/05/2025 16:00,4/01/2000 16:00,17.598,17.5,0.098,83.518
1,8/05/2025 17:00,4/01/2000 17:00,17.097,18,-0.903,84.571
1,8/05/2025 18:00,4/01/2000 18:00,15.095,16,-0.905,84.045
1,8/05/2025 19:00,4/01/2000 19:00,14.594,14.5,0.094,85.618
1,8/05/2025 20:00,4/01/2000 20:00,14.094,13.5,0.594,87.693
1,8/05/2025 21:00,4/01/2000 21:00,13.593,13.5,0.093,89.745
1,8/05/2025 22:00,4/01/2000 22:00,14.094,13,1.094,89.745
1,8/05/2025 23:00,4/01/2000 23:00,14.094,13.5,0.594,93.275
1,9/05/2025 0:00,5/01/2000 0:00,14.094,13.5,0.594,90.761
1,9/05/2025 1:00,5/01/2000 1:00,14.094,13.5,0.594,92.776
1,9/05/2025 2:00,5/01/2000 2:00,14.594,13.5,1.094,92.274
1,9/05/2025 3:00,5/01/2000 3:00,15.095,14,1.095,94.271
1,9/05/2025 4:00,5/01/2000 4:00,15.095,14,1.095,92.274
1,9/05/2025 5:00,5/01/2000 5:00,15.095,14.5,0.595,93.275
1,9/05/2025 6:00,5/01/2000 6:00,15.095,14.5,0.595,95.752
1,9/05/2025 7:00,5/01/2000 7:00,15.596,14.5,1.096,96.732
1,9/05/2025 8:00,5/01/2000 8:00,15.095,14.5,0.595,97.706
1,9/05/2025 9:00,5/01/2000 9:00,15.596,15,0.596,97.706
1,9/05/2025 10:00,5/01/2000 10:00,16.597,15.5,1.097,97.22
1,9/05/2025 11:00,5/01/2000 11:00,17.097,17,0.097,96.732
1,9/05/2025 12:00,5/01/2000 12:00,17.598,17.5,0.098,96.243
1,9/05/2025 13:00,5/01/2000 13:00,17.097,17,0.097,96.732
1,9/05/2025 14:00,5/01/2000 14:00,16.597,16,0.597,98.19
1,9/05/2025 15:00,5/01/2000 15:00,16.096,15.5,0.596,99.155
1,9/05/2025 16:00,5/01/2000 16:00,16.096,15.5,0.596,99.155
1,9/05/2025 17:00,5/01/2000 17:00,15.596,15.5,0.096,99.635
1,9/05/2025 18:00,5/01/2000 18:00,15.095,15,0.095,98.19
1,9/05/2025 19:00,5/01/2000 19:00,14.094,14.5,-0.406,97.706
1,9/05/2025 20:00,5/01/2000 20:00,13.593,13.5,0.093,93.774
1,9/05/2025 21:00,5/01/2000 21:00,13.593,13.5,0.093,92.274
1,9/05/2025 22:00,5/01/2000 22:00,13.593,13,0.593,92.776
1,9/05/2025 23:00,5/01/2000 23:00,13.092,13,0.092,91.771
1,10/05/2025 0:00,6/01/2000 0:00,13.092,13,0.092,91.771
1,10/05/2025 1:00,6/01/2000 1:00,12.591,12.5,0.091,91.267
1,10/05/2025 2:00,6/01/2000 2:00,11.089,12,-0.911,96.732
1,10/05/2025 3:00,6/01/2000 3:00,11.089,10.5,0.589,94.766
1,10/05/2025 4:00,6/01/2000 4:00,10.588,10.5,0.088,95.752
1,10/05/2025 5:00,6/01/2000 5:00,10.588,10,0.588,95.752
1,10/05/2025 6:00,6/01/2000 6:00,9.586,10,-0.414,97.706
1,10/05/2025 7:00,6/01/2000 7:00,9.586,9,0.586,98.19
1,10/05/2025 8:00,6/01/2000 8:00,9.085,9,0.085,98.19
1,10/05/2025 9:00,6/01/2000 9:00,9.586,9,0.586,94.766
1,10/05/2025 10:00,6/01/2000 10:00,10.588,9.5,1.088,93.774
1,10/05/2025 11:00,6/01/2000 11:00,11.59,11,0.59,93.275
1,10/05/2025 12:00,6/01/2000 12:00,12.091,11.5,0.591,98.19
1,10/05/2025 13:00,6/01/2000 13:00,12.091,12.5,-0.409,99.635
1,10/05/2025 14:00,6/01/2000 14:00,12.591,13,-0.409,100.114
1,10/05/2025 15:00,6/01/2000 15:00,12.591,13.5,-0.909,100.114
1,10/05/2025 16:00,6/01/2000 16:00,12.591,13,-0.409,98.19
1,10/05/2025 17:00,6/01/2000 17:00,12.591,13,-0.409,101.067
1,10/05/2025 18:00,6/01/2000 18:00,10.588,12,-1.412,100.114
1,10/05/2025 19:00,6/01/2000 19:00,9.586,10,-0.414,102.484
1,10/05/2025 20:00,6/01/2000 20:00,9.085,9.5,-0.415,102.484
1,10/05/2025 21:00,6/01/2000 21:00,8.584,8.5,0.084,102.484
1,10/05/2025 22:00,6/01/2000 22:00,8.083,8,0.083,103.421
1,10/05/2025 23:00,6/01/2000 23:00,8.083,7.5,0.583,103.421
1,11/05/2025 0:00,7/01/2000 0:00,7.582,7.5,0.082,103.888
1,11/05/2025 1:00,7/01/2000 1:00,7.582,7,0.582,103.421
1,11/05/2025 2:00,7/01/2000 2:00,7.582,7,0.582,104.816
1,11/05/2025 3:00,7/01/2000 3:00,7.582,6.5,1.082,102.013
1,11/05/2025 4:00,7/01/2000 4:00,7.582,7,0.582,103.888
1,11/05/2025 5:00,7/01/2000 5:00,8.083,7.5,0.583,102.013
1,11/05/2025 6:00,7/01/2000 6:00,9.085,8,1.085,102.013
1,11/05/2025 7:00,7/01/2000 7:00,9.085,8.5,0.585,102.953
1,11/05/2025 8:00,7/01/2000 8:00,9.085,8.5,0.585,101.067
1,11/05/2025 9:00,7/01/2000 9:00,9.085,8.5,0.585,101.541
1,11/05/2025 10:00,7/01/2000 10:00,10.087,9,1.087,102.484
1,11/05/2025 11:00,7/01/2000 11:00,11.59,10.5,1.09,97.22
1,11/05/2025 12:00,7/01/2000 12:00,13.092,12,1.092,93.275
1,11/05/2025 13:00,7/01/2000 13:00,14.094,13.5,0.594,90.761
1,11/05/2025 14:00,7/01/2000 14:00,14.594,14.5,0.094,89.234
1,11/05/2025 15:00,7/01/2000 15:00,14.594,15.5,-0.906,86.659
1,11/05/2025 16:00,7/01/2000 16:00,14.594,15,-0.406,82.989
1,11/05/2025 17:00,7/01/2000 17:00,14.094,15,-0.906,85.095
1,11/05/2025 18:00,7/01/2000 18:00,12.591,13.5,-0.909,93.275
1,11/05/2025 19:00,7/01/2000 19:00,11.59,12,-0.41,94.766
1,11/05/2025 20:00,7/01/2000 20:00,11.089,11,0.089,94.766
1,11/05/2025 21:00,7/01/2000 21:00,10.588,10,0.588,97.22
1,11/05/2025 22:00,7/01/2000 22:00,10.087,10,0.087,98.674
1,11/05/2025 23:00,7/01/2000 23:00,10.588,10,0.588,98.19
1,12/05/2025 0:00,8/01/2000 0:00,10.087,10,0.087,96.732
1,12/05/2025 1:00,8/01/2000 1:00,10.087,10,0.087,98.19
1,12/05/2025 2:00,8/01/2000 2:00,9.586,9.5,0.086,97.706
1,12/05/2025 3:00,8/01/2000 3:00,9.085,9,0.085,99.635
1,12/05/2025 4:00,8/01/2000 4:00,8.584,8,0.584,98.674
1,12/05/2025 5:00,8/01/2000 5:00,8.083,8,0.083,99.635
1,12/05/2025 6:00,8/01/2000 6:00,8.083,7.5,0.583,100.114
1,12/05/2025 7:00,8/01/2000 7:00,7.582,7,0.582,101.541
1,12/05/2025 8:00,8/01/2000 8:00,8.083,7,1.083,100.114
1,12/05/2025 9:00,8/01/2000 9:00,9.085,7.5,1.585,101.541
1,12/05/2025 10:00,8/01/2000 10:00,10.588,9.5,1.088,99.635
1,12/05/2025 11:00,8/01/2000 11:00,12.091,11,1.091,99.155
1,12/05/2025 12:00,8/01/2000 12:00,13.092,12.5,0.592,94.271
1,12/05/2025 13:00,8/01/2000 13:00,13.593,12.5,1.093,93.774
1,12/05/2025 14:00,8/01/2000 14:00,14.594,13.5,1.094,90.761
1,12/05/2025 15:00,8/01/2000 15:00,14.594,14.5,0.094,90.254
1,12/05/2025 16:00,8/01/2000 16:00,14.094,14.5,-0.406,91.771
1,12/05/2025 17:00,8/01/2000 17:00,14.094,14,0.094,94.766
1,12/05/2025 18:00,8/01/2000 18:00,12.591,13,-0.409,95.752
1,12/05/2025 19:00,8/01/2000 19:00,12.091,11.5,0.591,98.19
1,12/05/2025 20:00,8/01/2000 20:00,12.091,11.5,0.591,99.635
1,12/05/2025 21:00,8/01/2000 21:00,12.091,12,0.091,99.155
1,12/05/2025 22:00,8/01/2000 22:00,12.091,11.5,0.591,99.635
1,12/05/2025 23:00,8/01/2000 23:00,12.091,11.5,0.591,99.635
1,13/05/2025 0:00,9/01/2000 0:00,11.59,11,0.59,101.067
1,13/05/2025 1:00,9/01/2000 1:00,11.59,11,0.59,99.635
1,13/05/2025 2:00,9/01/2000 2:00,11.59,11.5,0.09,99.155
1,13/05/2025 3:00,9/01/2000 3:00,12.091,11,1.091,94.271
1,13/05/2025 4:00,9/01/2000 4:00,12.091,12,0.091,91.267
1,13/05/2025 5:00,9/01/2000 5:00,12.591,12,0.591,90.761
1,13/05/2025 6:00,9/01/2000 6:00,12.591,12,0.591,91.771
1,13/05/2025 7:00,9/01/2000 7:00,12.591,12,0.591,93.275
1,13/05/2025 8:00,9/01/2000 8:00,12.091,12,0.091,100.114
1,13/05/2025 9:00,9/01/2000 9:00,12.091,11.5,0.591,102.013
1,13/05/2025 10:00,9/01/2000 10:00,12.591,11.5,1.091,101.541
1,13/05/2025 11:00,9/01/2000 11:00,12.591,12,0.591,100.114
1,13/05/2025 12:00,9/01/2000 12:00,13.593,12.5,1.093,101.067
1,13/05/2025 13:00,9/01/2000 13:00,14.094,13.5,0.594,97.706
1,13/05/2025 14:00,9/01/2000 14:00,14.594,14,0.594,90.761
1,13/05/2025 15:00,9/01/2000 15:00,14.594,14.5,0.094,95.26
1,13/05/2025 16:00,9/01/2000 16:00,14.594,14.5,0.094,98.674
1,13/05/2025 17:00,9/01/2000 17:00,14.094,13.5,0.594,100.591
1,13/05/2025 18:00,9/01/2000 18:00,14.094,13.5,0.594,101.541
1,13/05/2025 19:00,9/01/2000 19:00,13.593,13,0.593,100.114
1,13/05/2025 20:00,9/01/2000 20:00,13.593,13,0.593,100.591
1,13/05/2025 21:00,9/01/2000 21:00,13.092,12.5,0.592,101.067
1,13/05/2025 22:00,9/01/2000 22:00,13.092,12.5,0.592,100.114
1,13/05/2025 23:00,9/01/2000 23:00,13.092,12.5,0.592,99.635
1,14/05/2025 0:00,10/01/2000 0:00,13.092,12.5,0.592,100.591
1,14/05/2025 1:00,10/01/2000 1:00,13.092,12.5,0.592,97.22
1,14/05/2025 2:00,10/01/2000 2:00,12.091,12.5,-0.409,99.155
1,14/05/2025 3:00,10/01/2000 3:00,11.089,11,0.089,99.155
1,14/05/2025 4:00,10/01/2000 4:00,11.089,11,0.089,97.706
1,14/05/2025 5:00,10/01/2000 5:00,11.089,11,0.089,101.067
1,14/05/2025 6:00,10/01/2000 6:00,11.089,11,0.089,102.484
1,14/05/2025 7:00,10/01/2000 7:00,10.588,10.5,0.088,102.953
1,14/05/2025 8:00,10/01/2000 8:00,10.588,10.5,0.088,102.953
1,14/05/2025 9:00,10/01/2000 9:00,10.588,10.5,0.088,102.484
1,14/05/2025 10:00,10/01/2000 10:00,11.59,10.5,1.09,102.013
1,14/05/2025 11:00,10/01/2000 11:00,12.091,11.5,0.591,101.067
1,14/05/2025 12:00,10/01/2000 12:00,12.591,12.5,0.091,100.114
1,14/05/2025 13:00,10/01/2000 13:00,13.092,12.5,0.592,99.635
1,14/05/2025 14:00,10/01/2000 14:00,13.593,13,0.593,97.706
1,14/05/2025 15:00,10/01/2000 15:00,13.593,14,-0.407,95.26
1,14/05/2025 16:00,10/01/2000 16:00,13.593,14,-0.407,96.732
1,14/05/2025 17:00,10/01/2000 17:00,13.092,13.5,-0.408,97.706
1,14/05/2025 18:00,10/01/2000 18:00,11.59,12.5,-0.91,97.22
1,14/05/2025 19:00,10/01/2000 19:00,10.588,11,-0.412,99.155
1,14/05/2025 20:00,10/01/2000 20:00,10.087,10,0.087,101.067
1,14/05/2025 21:00,10/01/2000 21:00,9.586,9,0.586,99.635
1,14/05/2025 22:00,10/01/2000 22:00,9.586,9,0.586,102.013
1,14/05/2025 23:00,10/01/2000 23:00,9.586,9,0.586,102.013
1,15/05/2025 0:00,11/01/2000 0:00,9.586,9,0.586,102.013
1,15/05/2025 1:00,11/01/2000 1:00,10.087,9.5,0.587,102.484
1,15/05/2025 2:00,11/01/2000 2:00,10.087,9,1.087,102.953
1,15/05/2025 3:00,11/01/2000 3:00,11.089,10,1.089,101.541
1,15/05/2025 4:00,11/01/2000 4:00,11.59,11,0.59,101.541
1,15/05/2025 5:00,11/01/2000 5:00,11.59,10.5,1.09,101.541
1,15/05/2025 6:00,11/01/2000 6:00,11.59,11,0.59,102.013
1,15/05/2025 7:00,11/01/2000 7:00,11.59,11,0.59,100.114
1,15/05/2025 8:00,11/01/2000 8:00,11.59,11,0.59,98.19
1,15/05/2025 9:00,11/01/2000 9:00,11.59,11,0.59,98.674
1,15/05/2025 10:00,11/01/2000 10:00,12.091,11,1.091,95.752
1,15/05/2025 11:00,11/01/2000 11:00,12.591,12,0.591,92.776
1,15/05/2025 12:00,11/01/2000 12:00,13.092,12.5,0.592,93.774
1,15/05/2025 13:00,11/01/2000 13:00,14.094,13.5,0.594,86.659
1,15/05/2025 14:00,11/01/2000 14:00,14.094,14,0.094,87.693
1,15/05/2025 15:00,11/01/2000 15:00,14.594,14,0.594,89.745
1,15/05/2025 16:00,11/01/2000 16:00,14.594,13.5,1.094,88.722
1,15/05/2025 17:00,11/01/2000 17:00,14.094,14.5,-0.406,90.761
1,15/05/2025 18:00,11/01/2000 18:00,13.593,13,0.593,93.774
1,15/05/2025 19:00,11/01/2000 19:00,13.092,13,0.092,93.275
1,15/05/2025 20:00,11/01/2000 20:00,13.092,12,1.092,97.22
1,15/05/2025 21:00,11/01/2000 21:00,13.092,12.5,0.592,98.19
1,15/05/2025 22:00,11/01/2000 22:00,14.094,12.5,1.594,100.114
1,15/05/2025 23:00,11/01/2000 23:00,14.094,13.5,0.594,99.635
1,16/05/2025 0:00,12/01/2000 0:00,14.094,13.5,0.594,99.635
1,16/05/2025 1:00,12/01/2000 1:00,14.594,14,0.594,99.155
1,16/05/2025 2:00,12/01/2000 2:00,14.594,14,0.594,100.114
1,16/05/2025 3:00,12/01/2000 3:00,14.594,14,0.594,100.114
1,16/05/2025 4:00,12/01/2000 4:00,14.594,14,0.594,101.067
1,16/05/2025 5:00,12/01/2000 5:00,14.594,14,0.594,99.635
1,16/05/2025 6:00,12/01/2000 6:00,15.095,14,1.095,100.591
1,16/05/2025 7:00,12/01/2000 7:00,15.095,14.5,0.595,98.674
1,16/05/2025 8:00,12/01/2000 8:00,15.095,14.5,0.595,99.635
1,16/05/2025 9:00,12/01/2000 9:00,15.596,15,0.596,98.674
1,16/05/2025 10:00,12/01/2000 10:00,15.596,15,0.596,98.19
1,16/05/2025 11:00,12/01/2000 11:00,16.096,15.5,0.596,98.674
1,16/05/2025 12:00,12/01/2000 12:00,16.597,16,0.597,94.271
1,16/05/2025 13:00,12/01/2000 13:00,16.597,16,0.597,90.254
1,16/05/2025 14:00,12/01/2000 14:00,16.597,16.5,0.097,91.771
1,16/05/2025 15:00,12/01/2000 15:00,16.597,16,0.597,90.761
1,16/05/2025 16:00,12/01/2000 16:00,16.597,16,0.597,92.776
1,16/05/2025 17:00,12/01/2000 17:00,16.096,16,0.096,95.26
1,16/05/2025 18:00,12/01/2000 18:00,16.096,15.5,0.596,94.271
1,16/05/2025 19:00,12/01/2000 19:00,15.596,15.5,0.096,96.732
1,16/05/2025 20:00,12/01/2000 20:00,15.596,15,0.596,98.674
1,16/05/2025 21:00,12/01/2000 21:00,15.095,14.5,0.595,100.591
