elapsed_hour,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
14,25.94883333333333,25.75,0.37944963799927106,25.28966666666667,26.62147083333333,26.21425,26.3595,0.4445869571861057,25.29875,26.862000000000002,-0.31100000000000005,-0.05300000000000085,0.6831267573932869,-1.73075,0.7324999999999999,46.36,41.551,6.151923154591577,39.0846,58.769645
15,30.91,32.0,1.3744978881193104,28.182833333333335,33.45697222222223,28.663,26.607,1.6995152642248708,26.240145833333333,32.153499999999994,2.6886666666666676,1.2400000000000002,2.249310911763373,-1.1329999999999985,6.993883333333333,23.571199999999997,22.598,1.555019723347585,20.834799999999998,26.216200000000004
16,28.576999999999998,27.0,1.3275803386445417,26.37613055555555,31.389111111111113,29.052333333333333,28.0,1.3468278884516425,26.648000000000003,31.669155555555555,-0.47533333333333316,-2.0,1.3358308172153472,-2.8034333333333326,1.9490444444444437,31.3738,30.366,4.035574809119513,24.470399999999998,38.432599999999994
17,26.354777777777777,25.5,0.6573659934790635,25.354777777777777,27.731333333333332,29.83022222222222,30.605,1.5749581632695457,27.102711111111116,32.66569444444445,-3.475444444444445,-4.920000000000002,1.361556667436936,-5.528033333333332,-0.5494027777777791,33.2134,28.67,3.5449761014709256,27.450800000000005,39.589
18,25.132555555555555,25.0,0.3940887911481903,24.42646388888889,25.897777777777776,25.219222222222225,24.607,1.6336472213507909,22.14337777777778,28.098333333333333,-0.0866666666666663,-0.0040000000000013,1.4181633564422527,-2.59532222222222,2.561849999999999,34.622,32.846,4.22177067117578,27.4916,42.2704
19,21.465666666666667,21.5,0.6624887420427107,20.231,22.623555555555555,22.440888888888892,21.606,1.3956987740559328,19.790377777777778,24.85814166666667,-0.9752222222222228,-0.1060000000000016,1.2110240361154614,-3.1460138888888887,1.2603555555555555,40.17,38.79,3.6522851066147615,33.9336,46.9262
20,18.52077777777778,18.0,0.637738447296769,17.289863888888892,19.743000000000002,17.716444444444445,16.099,1.2743349257892995,15.575663888888888,20.249672222222223,0.8043333333333335,1.901,1.4247657604751112,-1.7849777777777773,3.3969,53.7544,52.885,1.7272456281606265,50.8224,56.804784999999995
21,15.242333333333331,15.106,0.6391545196585877,14.191544444444446,16.38918333333333,13.657,12.008,1.4218887380288703,11.115333333333332,16.631666666666668,1.5853333333333335,2.914,1.4298179954106047,-0.7384138888888879,4.2897583333333325,69.41400000000002,71.535,3.673242137403959,63.1434,75.6846
22,13.46411111111111,13.603,0.4688711752841559,12.57836388888889,14.297649999999999,11.322666666666668,11.007,0.827560471103673,9.779830555555556,12.908222222222223,2.141444444444444,2.4930000000000003,0.7230765502565162,0.9010361111111113,3.465699999999999,72.3484,71.535,4.357376224289107,65.07702499999999,80.09979999999999
23,12.519222222222222,12.5,0.4485316097425817,11.574777777777777,13.289016666666665,9.766222222222222,10.5,0.48018522982102607,8.929494444444444,10.577152777777778,2.753,2.5730000000000004,0.4917841949925236,1.9200416666666664,3.7489444444444446,74.5,71.535,4.587716697879239,66.926085,82.84479999999999
24,12.130444444444445,12.5,0.46524089074344394,11.122222222222222,12.8528,9.600444444444445,10.085,0.435474361763223,8.770097222222223,10.31711111111111,2.5299999999999994,2.494,0.4252925137152337,1.7834194444444442,3.3208527777777768,74.93140000000001,73.212,5.1486982005163195,65.88940000000001,84.70539999999998
25,11.574333333333334,12.0,0.4344994565908889,10.730222222222222,12.341333333333333,8.820888888888888,8.106,0.40580056145724136,8.099116666666667,9.583263888888888,2.7534444444444444,2.5,0.4221503191699713,1.940375000000001,3.46653611111111,79.2426,77.073,4.48160973981448,71.5954,87.288
26,11.296666666666667,11.5,0.4356929028060425,10.463130555555555,12.016425000000002,9.267000000000001,10.085,0.5496225977887009,8.198294444444446,10.17830277777778,2.029666666666666,1.5,0.6187237536520911,1.1074222222222216,3.268674999999999,80.5068,79.246,4.473331078737633,72.8752,89.22220000000002
27,11.407777777777778,11.5,0.3990125582045487,10.677377777777776,12.071844444444444,9.37911111111111,9.5,0.6030325088999128,8.148530555555554,10.39725,2.0286666666666666,1.488999999999999,0.7102580516967056,1.0008722222222224,3.372225,83.67859999999999,82.628,3.905191116962138,76.89969500000001,91.41560000000001
