day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
0,16.479166666666668,13.75,1.1410803926807203,14.1875,18.833333333333332,12.25,19.5,16.195652173913043,14.0,1.5710256746438302,13.281521739130437,19.304891304347827,10.0,20.0,-0.21739130434782608,0.0,0.5506249476376729,-1.283152173913043,0.8048913043478256,-2.0,2.0,,,,,,,,10
1,15.3125,13.75,0.8301456241204773,13.832812500000001,16.875,12.5,15.756249999999994,14.9375,13.0,0.9490233824489167,13.104166666666666,16.979166666666668,11.5,15.0,0.375,0.25,0.2336113767827219,-0.08333333333333333,0.8125,0.0,1.0,,,,,,,,10
2,11.75,9.75,0.8362268605580908,10.25,13.354687499999999,9.0,12.0,11.8125,9.75,0.914265217363736,10.145833333333334,13.583333333333334,9.0,12.0,-0.0625,0.0,0.3132237994640967,-0.7083333333333334,0.5213541666666662,-0.5,0.5,,,,,,,,10
3,10.333333333333334,10.0,0.49514551611178287,9.416666666666666,11.271354166666667,8.993750000000006,11.0,10.5625,10.0,0.6414943067963845,9.416666666666666,11.792187499999999,9.0,11.0,-0.22916666666666666,0.0,0.30093328059884084,-0.9166666666666666,0.2708333333333333,-0.5,0.5,,,,,,,,10
4,7.75,7.25,0.7985494095046906,6.291145833333334,9.1875,5.5,9.0,8.3125,7.0,0.9544957030293271,6.541666666666667,10.167187499999999,5.25,9.0,-0.5625,-0.5,0.2541547870827962,-1.0833333333333333,-0.10416666666666667,-0.5,-0.25,,,,,,,,10
5,7.0,6.5,0.5358522941626921,5.978125000000001,8.041666666666666,5.0,9.0,6.979166666666667,6.0,0.6500272894680192,5.7703125,8.333333333333334,4.5,9.0,0.020833333333333332,0.0,0.22214200695959932,-0.3958333333333333,0.4375,-0.5,0.5,,,,,,,,10
6,8.520833333333334,7.25,0.8189773396439255,7.041666666666667,10.166666666666666,5.743750000000006,10.5,8.416666666666666,6.25,1.0048193050239393,6.583333333333333,10.356249999999998,5.0,10.75,0.10416666666666667,0.5,0.3969758492392542,-0.7083333333333334,0.8125,0.0,0.5,,,,,,,,10
7,11.645833333333334,11.0,0.8818208099275363,9.895833333333334,13.3125,8.5,14.5,11.916666666666666,10.0,1.2639320213482101,9.436979166666667,14.459895833333333,7.25,15.25,-0.2708333333333333,0.5,0.5467121479401332,-1.3125,0.6255208333333329,0.24375000000000568,1.0,,,,,,,,10
8,11.666666666666666,9.5,1.0173613687325522,9.791666666666666,13.541666666666666,8.5,11.256249999999994,11.729166666666666,8.75,1.2365139046826084,9.479166666666666,14.208333333333334,8.0,11.5,-0.0625,0.5,0.3245851588756314,-0.7083333333333334,0.5,0.0,0.5,,,,,,,,10
9,6.875,6.75,0.7428707048053322,5.499479166666667,8.458333333333334,4.0,10.0,6.416666666666667,6.0,0.8295202617985287,4.853645833333334,7.938020833333333,3.4937500000000057,9.0,0.4583333333333333,0.5,0.2962884333699044,-0.10416666666666667,0.9791666666666666,0.0,1.0,,,,,,,,10
10,9.645833333333334,8.0,0.7758113837396927,8.208333333333334,10.980208333333332,6.5,12.75,9.729166666666666,7.0,1.0219418707529642,7.8953125,11.875,5.75,13.0,-0.08333333333333333,0.5,0.43266391995733855,-0.9588541666666662,0.6463541666666662,0.25,1.0,,,,,,,,10
11,11.729166666666666,10.25,0.885152880569609,10.0,13.5,8.25,13.5,11.229166666666666,9.5,0.9635471748765394,9.457291666666668,13.208333333333334,7.5,14.0,0.5,0.5,0.2311753208833228,0.020833333333333332,0.9375,0.25,1.0,,,,,,,,10
12,12.8125,11.0,1.0962768430769059,10.748958333333334,14.938020833333333,9.0,13.0,13.5625,10.25,1.5494016201213885,10.769270833333335,16.813020833333333,8.5,13.0,-0.75,0.0,0.6566273069937429,-2.0416666666666665,0.2916666666666667,-0.25,0.5,,,,,,,,10
13,12.458333333333334,11.0,0.5441692467258009,11.458333333333334,13.458333333333334,10.5,14.0,12.0625,10.5,0.5378032511583783,10.958333333333334,13.145833333333334,10.0,13.5,0.3958333333333333,0.5,0.21488783446478815,-0.041666666666666664,0.75,0.0,1.0,,,,,,,,10
14,13.104166666666666,11.25,0.8242141440875727,11.520833333333334,14.75,10.5,13.0,13.416666666666666,11.5,0.9811016188313166,11.645312500000001,15.4375,10.25,13.0,-0.3125,0.0,0.3348865533627596,-1.0,0.1875,-0.5,0.5,,,,,,,,10
15,6.354166666666667,6.0,0.5737929727731639,5.249479166666667,7.4375,5.0,8.012499999999989,6.3125,5.75,0.6254074758663869,5.166666666666667,7.563020833333333,4.5,8.0,0.041666666666666664,-0.5,0.22303218935374042,-0.375,0.5,-0.5,0.0,,,,,,,,10
16,4.875,3.25,0.7318145504373934,3.6041666666666665,6.375520833333333,2.0,6.0,5.166666666666667,3.5,0.7863570994927848,3.6875,6.6875,2.0,6.0,-0.2916666666666667,0.0,0.2480296752543197,-0.7916666666666666,0.12552083333333286,-0.5,0.0,,,,,,,,10
17,8.666666666666666,7.0,0.7479844091480133,7.270833333333333,10.126041666666666,5.5,11.5,8.958333333333334,5.75,1.1671518142417991,6.894791666666667,11.291666666666666,5.0,9.5,-0.2916666666666667,0.5,0.6627489050244528,-1.6875,0.8130208333333329,0.5,1.5,,,,,,,,10
18,10.208333333333334,8.0,0.9271062324154525,8.541666666666666,12.125,7.0,11.5,10.5,7.5,1.1361165739329824,8.436979166666667,12.625520833333333,7.0,10.5,-0.2916666666666667,0.0,0.35472568839831975,-1.0,0.3333333333333333,0.0,0.5,,,,,,,,10
19,6.104166666666667,5.5,0.6426699055408793,4.979166666666667,7.4171875,4.0,6.5,6.0625,4.75,0.7936069852902312,4.728125000000001,7.563020833333333,3.75,6.0,0.041666666666666664,0.5,0.2932153501198287,-0.625,0.5416666666666666,0.0,0.5,,,,,,,,10
20,5.375,4.75,0.24680934964555895,4.916666666666667,5.854166666666667,4.5,6.0,5.208333333333333,4.5,0.24619691855365294,4.749479166666667,5.708333333333333,4.5,6.5,0.16666666666666666,0.0,0.12286829679574761,-0.0625,0.4375,0.0,0.5,,,,,,,,10
21,10.583333333333334,9.0,0.7126361214153362,9.270833333333334,11.958333333333334,7.5,12.5,11.083333333333334,8.25,1.166666666666667,9.103645833333333,13.480208333333332,7.5,12.5,-0.5,0.5,0.6049314250272565,-1.7296874999999996,0.5416666666666666,0.0,1.0,,,,,,,,10
22,10.354166666666666,9.25,0.770539505299406,8.957812500000001,11.895833333333334,7.0,11.75,10.479166666666666,8.5,0.8894913700216519,8.811979166666667,12.229166666666666,7.0,11.75,-0.125,0.0,0.21121199598123402,-0.5208333333333334,0.2708333333333333,-0.5,0.5,,,,,,,,10
23,5.791666666666667,4.0,0.7956611658371019,4.375,7.541666666666667,3.75,6.25,6.020833333333333,4.0,0.8217377126294545,4.5,7.626041666666666,4.0,6.5,-0.22916666666666666,-0.5,0.24814377309455882,-0.6666666666666666,0.2916666666666667,-0.5,0.0,,,,,,,,10
24,3.9166666666666665,3.0,0.6061779366005134,2.8541666666666665,5.146354166666666,2.0,3.5062499999999943,3.5625,3.0,0.5861571146403312,2.561979166666667,4.875520833333333,1.5,4.0,0.3541666666666667,0.5,0.16886011347474963,0.020833333333333332,0.6666666666666666,0.0,1.0,,,,,,,,10
25,9.1875,8.0,0.8213701988891419,7.749479166666667,10.854166666666666,6.0,11.0,9.4375,6.75,1.2118498929502277,7.332291666666667,12.063020833333333,5.5,10.5,-0.25,0.75,0.5290475445059982,-1.375,0.6875,0.5,1.0,,,,,,,,10
26,9.5,7.75,0.7071067811865476,8.291145833333333,10.875520833333333,6.75,12.0,9.833333333333334,7.75,0.946325208882329,8.103645833333333,11.583854166666667,6.5,11.75,-0.3333333333333333,0.5,0.3897075578896675,-1.1052083333333325,0.3541666666666667,-0.5,0.5,,,,,,,,10
27,11.916666666666666,11.0,0.7811563953586131,10.395833333333334,13.4375,9.0,13.5,12.395833333333334,10.0,1.0653379263609248,10.5,14.688020833333333,8.5,14.5,-0.4791666666666667,0.0,0.46671761497248404,-1.3963541666666661,0.3541666666666667,-0.5,0.5,,,,,,,,10
