rock,hour,temp_in_mean,temp_in_median,temp_in_sem,temp_in_mean_ci_low,temp_in_mean_ci_up,temp_in_median_ci_low,temp_in_median_ci_up,temp_out_mean,temp_out_median,temp_out_sem,temp_out_mean_ci_low,temp_out_mean_ci_up,temp_out_median_ci_low,temp_out_median_ci_up,temp_diff_mean,temp_diff_median,temp_diff_sem,temp_diff_mean_ci_low,temp_diff_mean_ci_up,temp_diff_median_ci_low,temp_diff_median_ci_up,hum_mean,hum_median,hum_sem,hum_mean_ci_low,hum_mean_ci_up,hum_median_ci_low,hum_median_ci_up
1,0,12.443342857142857,12.072,0.4013380936943067,11.713742857142858,13.287257142857143,11.55847500000001,14.074,11.942857142857143,11.5,0.3962913306236852,11.157142857142857,12.700357142857142,11.0,13.012499999999989,0.5004857142857143,0.572,0.046556541415997035,0.4142564285714285,0.5862921428571429,0.569,0.573,95.72851428571428,96.469,0.6295925765040085,94.44632714285716,96.93887714285712,93.955,97.96
1,1,12.271685714285715,12.573,0.4276983500172089,11.398670000000003,13.07315857142857,11.07,13.574,11.82857142857143,12.0,0.40993074694015663,11.028571428571428,12.62892857142857,10.5,13.0,0.4431142857142857,0.57,0.047615366692467076,0.3566271428571428,0.5295149999999998,0.566,0.573,95.7716,96.968,0.6284820664896967,94.55145571428571,96.95731642857143,93.955,97.96
1,2,12.157314285714287,12.573,0.4283313877911667,11.284799285714286,12.944499285714286,11.07,13.574,11.628571428571428,12.0,0.42473068933547214,10.814285714285715,12.400357142857143,10.5,12.5,0.5287428571428573,0.57,0.042927657395993586,0.44279999999999997,0.6014335714285711,0.569,0.574,95.94294285714285,96.469,0.6308911543550578,94.695365,97.13517357142857,94.461,98.453
1,3,11.97137142857143,12.072,0.4486581639101392,11.112842142857142,12.858258571428573,10.57,13.073,11.585714285714285,12.0,0.4316694747305694,10.8,12.372142857142856,10.5,12.5,0.38565714285714287,0.57,0.04169841588303879,0.2998842857142857,0.4579714285714286,0.074,0.573,95.97351428571429,96.968,0.6154808632778315,94.70972357142857,97.09046071428573,94.461,97.96
1,4,11.946305555555558,12.3225,0.4466504240462617,11.083652777777779,12.725676388888887,10.5699875,13.3235,11.5,12.0,0.4263168208574836,10.63888888888889,12.36111111111111,10.0,12.75,0.44630555555555557,0.571,0.05056598422875725,0.3485548611111111,0.5440333333333334,0.566975,0.573,95.3825,96.469,0.9385396512583402,93.67549236111111,96.91120347222224,94.45370000000001,97.96
1,5,11.86286111111111,12.573,0.44576034943834264,11.014633333333334,12.766890277777778,10.569500000000001,13.073,11.444444444444445,11.75,0.4376967937341441,10.569444444444445,12.264583333333333,10.25,12.5,0.41841666666666666,0.5694999999999999,0.05216220694461971,0.3210541666666666,0.5158923611111111,0.074,0.573,95.43922222222221,96.7185,0.93400925619212,93.46619444444445,96.95651388888888,94.45750000000001,98.2065
1,6,11.862916666666667,12.3225,0.4488793230111898,11.041959027777779,12.725569444444444,10.57,13.073,11.36111111111111,11.5,0.434892392780168,10.51388888888889,12.222222222222221,10.5,12.5,0.5018055555555556,0.572,0.04544422395840486,0.4175173611111111,0.5989187499999999,0.569,0.573,95.87197222222223,96.968,0.9263006578363813,93.92455208333332,97.33363958333335,94.713,98.453
1,7,11.813971428571428,12.573,0.4744880310109298,10.85499142857143,12.729837142857141,10.57,13.073,11.471428571428572,12.0,0.4578644514945192,10.628214285714286,12.3,10.0,12.5,0.34254285714285715,0.566,0.047622170933986054,0.2556007142857146,0.44308857142857133,0.073,0.57,95.78625714285714,96.469,0.9379361881349952,93.78117357142857,97.28133142857143,95.468,97.96
1,8,12.142914285714285,12.573,0.46901781939491805,11.212700714285713,13.072461428571428,11.07,13.574,11.942857142857143,12.5,0.43856691208360643,11.071071428571429,12.8,11.0,13.0,0.20005714285714282,0.073,0.05590762102643551,0.0850842857142857,0.30074285714285703,0.07,0.075,95.59254285714286,95.969,0.9024835847506024,93.67983357142857,97.05828357142856,95.468,97.464
1,9,12.786685714285714,13.073,0.41625200788660205,12.013894285714287,13.587772142857144,12.072,14.074,12.742857142857142,13.0,0.38749975796762764,11.928571428571429,13.5,12.5,13.512499999999989,0.04382857142857144,0.073,0.061566353979888654,-0.07094428571428572,0.1590292857142857,0.067,0.074,95.59074285714286,96.469,0.913983576836855,93.76280785714286,97.02243,94.965,97.464
1,10,13.630714285714289,13.574,0.36295318023736584,12.900763571428573,14.31764142857143,13.073,15.075,13.67142857142857,13.5,0.32080705551272826,13.071428571428571,14.301071428571428,13.0,15.0,-0.04071428571428571,0.075,0.08981148858243333,-0.22638,0.11700142857142853,0.069,0.076,95.57140000000001,96.469,0.8554540199029212,93.678175,96.97943428571428,94.965,97.96
1,11,14.345857142857145,14.575,0.30667973918237573,13.773415000000002,14.90362857142857,13.574,15.576,14.257142857142858,14.5,0.3111184949294317,13.657142857142857,14.886071428571428,13.5,15.5,0.0887142857142857,0.075,0.08815843807646341,-0.06840071428571431,0.2600307142857142,0.073,0.077,95.44397142857142,96.469,0.6195428085069095,94.18097857142855,96.51495785714287,93.955,96.968
