day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
0,11.17458333333333,11.3205,0.38241859471281675,10.506235416666668,11.926308333333333,10.069,12.072,10.520833333333334,10.0,0.4043235165540676,9.791666666666666,11.270833333333334,9.5,11.5,0.6537499999999999,0.571,0.07762139277249559,0.5077916666666666,0.8000479166666666,0.567,0.5801749999999943,81.36166666666666,84.588,1.628117772360565,78.111025,84.45231354166665,77.407,86.712,1
1,10.5695,11.07,0.43368837322721,9.734234375,11.404646874999997,10.5699875,11.8215,10.020833333333334,10.5,0.3964050029054912,9.270833333333334,10.729687499999999,10.0,11.0,0.5486666666666666,0.57,0.09775873634310628,0.3604989583333334,0.7372093750000001,0.072,1.0680125,91.91345833333332,91.916,0.1826631192712645,91.54838124999999,92.255003125,91.402,92.428,1
2,14.032291666666666,13.3235,0.5049741939136295,13.114102083333332,15.075684375,12.072,15.075,13.541666666666666,12.75,0.501733107449679,12.583333333333334,14.479166666666666,11.75,14.5,0.4906249999999999,0.572,0.10718169613940079,0.30254166666666665,0.6989208333333334,0.078,0.573,90.95908333333334,90.62899999999999,0.46161033474928065,90.07828020833334,91.87959895833332,89.5925,93.447,1
3,14.5745,16.076500000000003,0.5490294994846342,13.551937500000001,15.596420833333337,13.073,16.577,14.020833333333334,15.25,0.49037767043558966,12.9375,14.9375,12.5,16.0,0.5536666666666666,0.5765,0.07711175934934757,0.40708229166666665,0.7005427083333333,0.57,0.577,93.550125,93.447,0.2100860530424879,93.12441666666666,93.95329479166666,93.447,93.955,1
4,15.054416666666667,14.575,0.27026179549441465,14.553997916666669,15.596624999999998,14.074,15.576,14.541666666666666,14.0,0.2723965477517165,14.041666666666666,15.125520833333333,13.5,15.0,0.5127499999999999,0.574,0.08140568139735775,0.3667875,0.6791708333333333,0.32499999999999996,0.577,94.62774999999999,94.713,0.1380343536582656,94.37524791666668,94.88004375,93.955,94.965,1
5,14.491375,13.824,0.31978034134692607,13.886664583333332,15.137833333333333,13.574,15.075,14.104166666666666,13.5,0.349662319849745,13.436979166666667,14.771354166666667,13.0,14.5,0.3872083333333333,0.5734999999999999,0.08928747699260695,0.20012395833333332,0.5536677083333333,0.074,0.574,94.11870833333332,93.701,0.2630690414638155,93.61270208333333,94.604290625,93.447,95.468,1
6,13.573583333333334,13.073,0.3858669700021594,12.843583333333333,14.262476041666668,12.573,14.074,13.083333333333334,12.5,0.41339293632906127,12.374479166666667,13.854166666666666,12.0,13.5,0.4902499999999999,0.573,0.08850385339191391,0.3035270833333333,0.6567135416666666,0.57,0.574,91.51545833333334,90.887,0.4803911976952405,90.60036458333333,92.478315625,89.852,92.95708749999997,1
7,12.80175,12.573,0.39630149393385194,12.071790625000002,13.594893749999999,11.3205,13.824,12.354166666666666,12.25,0.3998178555703213,11.645833333333334,13.083333333333334,11.0,13.25,0.4475833333333333,0.5705,0.1213796284012324,0.21786874999999997,0.6781177083333328,0.3139000000000055,0.573,92.06254166666668,92.428,0.19889159325257047,91.67674895833335,92.426128125,91.402,92.68299999999999,1
8,12.405666666666667,12.573,0.2772930594538133,11.904359374999999,12.927209374999999,12.072,13.073,11.958333333333334,12.0,0.240614902699243,11.5,12.395833333333334,12.0,12.5,0.44733333333333336,0.573,0.08125014306936494,0.30108125,0.614459375,0.073,0.573,95.59029166666666,95.468,0.21219242428634624,95.15141249999999,95.98775520833334,95.468,95.969,1
9,12.781083333333333,12.823,0.20197789121249718,12.404816666666667,13.177417708333332,12.573,13.3235,12.0625,12.0,0.19577165232758412,11.645833333333334,12.4375,11.5,12.5,0.7185833333333335,0.5734999999999999,0.06379282922387496,0.5939114583333333,0.8435833333333335,0.573,1.0725,96.44754166666667,96.469,0.11040098159034255,96.23916666666668,96.65533333333333,96.46275,96.968,1
10,11.842083333333335,12.072,0.4346528388010111,10.986146875,12.593208333333331,11.07,13.073,11.229166666666666,11.75,0.3806687082739232,10.479166666666666,11.916666666666666,10.25,12.5,0.6129166666666667,0.5734999999999999,0.08511549946274341,0.446740625,0.7804604166666667,0.31999999999999995,1.072,96.42537499999999,96.469,0.17761273020070317,96.09249687500001,96.73729687500001,95.969,96.968,1
11,9.6305,9.067,0.47307686203333216,8.754165625000002,10.548499999999999,8.066,11.3205,9.270833333333334,9.0,0.41700620223842483,8.520312500000001,10.083333333333334,8.0,10.5,0.35966666666666663,0.3155,0.13130912286963262,0.10840520833333332,0.6102979166666668,0.064,0.821,98.24633333333334,98.2065,0.15135302416108307,97.93733333333334,98.53416979166668,97.96,98.6995,1
12,11.571,12.072,0.48691812170669596,10.652438541666667,12.447291666666667,11.571,12.579249999999995,11.166666666666666,11.5,0.45111241997858714,10.208333333333334,12.0,11.0,12.0,0.4043333333333334,0.5685,0.10309172900563837,0.21562291666666672,0.5923354166666666,0.067,0.573,98.43045833333333,98.2065,0.17895331731932088,98.08224062499998,98.75997604166666,97.96,98.70566249999999,1
13,12.551583333333332,12.573,0.3238555877656785,11.925791666666667,13.177374999999998,12.065737500000004,13.574,12.0625,12.0,0.31177452020534874,11.458333333333334,12.666666666666666,11.5,13.25,0.4890833333333333,0.573,0.06512401538009656,0.3641229166666667,0.6143354166666666,0.5628625000000055,0.5734999999999999,98.59379166666668,98.453,0.21275272251844363,98.204246875,98.98371770833336,97.464,99.436,1
14,11.007624999999999,10.319500000000001,0.4483642727289749,10.089708333333334,11.883875000000002,9.568,12.322,10.520833333333334,9.75,0.4355980050237563,9.749479166666667,11.3125,9.5,12.0,0.4867916666666667,0.569,0.09843941672468716,0.29849895833333334,0.6742968749999999,0.073,0.575,96.99841666666664,96.219,0.3837985295598078,96.29354791666667,97.80380520833333,95.969,98.2065,1
15,11.195291666666668,11.571,0.5143970350878061,10.131247916666666,12.217542708333333,10.318999999999999,12.829249999999995,11.020833333333334,11.0,0.5155895446015323,9.957812500000001,12.000520833333333,11.0,12.5,0.1744583333333333,0.31899999999999995,0.13461198908595154,-0.09750312499999998,0.42430208333333336,0.064,0.571,91.74825,90.371,0.7661251511878516,90.21878749999999,93.13711979166666,89.5925,95.969,1
16,14.595583333333332,14.3245,0.29592303957319993,14.074206249999998,15.158666666666667,14.074,15.0755,14.208333333333334,13.75,0.34039175356303775,13.5625,14.854166666666666,13.5,15.0,0.3872499999999999,0.573,0.08397994606201954,0.22078854166666664,0.5332135416666667,0.3244875,0.574,88.99666666666667,88.812,0.4068262442310832,88.21015833333331,89.71349687500002,87.765,90.887,1
17,12.9685,12.823,0.39746262699161095,12.217103125,13.740772916666668,11.571,14.575,12.6875,12.25,0.41899260223139706,11.875,13.479166666666666,11.0,14.0,0.28099999999999997,0.076,0.08981462390204988,0.09403958333333332,0.44808437499999987,0.072,0.571,91.48504166666667,91.402,0.2065096979788105,91.05774583333333,91.91246458333333,90.887,91.916,1
18,13.615208333333333,14.575,0.40083111111122827,12.885082291666667,14.345209374999998,13.5735,14.575,13.229166666666666,14.0,0.37587960446549923,12.478645833333333,13.875,13.5,14.5,0.3860416666666666,0.569,0.08952648137029566,0.2176041666666671,0.5532093750000001,0.075,0.575,94.64795833333334,94.461,0.17390219305863802,94.33199791666667,94.96316979166667,94.461,94.965,1
19,16.284875,16.577,0.19035122297681242,15.930291666666667,16.618583333333333,16.577,16.577,15.729166666666666,16.0,0.18547619545948643,15.353645833333333,16.0625,15.75,16.0,0.5557083333333334,0.577,0.056195004650816734,0.4512875,0.6600843750000001,0.577,0.577,96.53070833333334,96.469,0.10964095684218829,96.32178645833332,96.71821041666666,96.469,96.968,1
20,15.200333333333333,15.576,0.24888532417435155,14.762415625000001,15.679916666666665,14.074,15.576,14.729166666666666,15.0,0.23502074890413177,14.291666666666666,15.208854166666667,13.75,15.5,0.4711666666666667,0.574,0.06010686939770088,0.36666666666666664,0.575834375,0.32597499999999996,0.576,97.56545833333332,97.96,0.1769605906668333,97.23441041666668,97.89637499999999,97.21600000000001,97.96,1
21,13.969999999999999,13.574,0.16494636809528754,13.678125000000001,14.325061458333334,13.574,14.074,13.291666666666666,13.0,0.14089731416920842,13.020833333333334,13.604166666666666,13.0,13.5,0.6783333333333333,0.574,0.06725418651552284,0.553125,0.8035833333333334,0.574,0.5750124999999999,98.36958333333332,98.453,0.1474266940986279,98.06120208333334,98.63613124999999,97.96,98.453,1
22,13.198166666666665,13.073,0.30170733171347003,12.614207291666666,13.803001041666668,12.573,13.824,12.791666666666666,12.5,0.35600015605489715,12.145833333333334,13.520833333333334,11.75,13.5,0.40650000000000003,0.5714999999999999,0.11112683705137782,0.19854062499999997,0.6159062499999995,0.076,0.573,92.99191666666665,91.916,0.6778281250356701,91.72881666666666,94.32333437499999,91.4015,93.447,1
23,12.175749999999999,11.571,0.428281953933641,11.403869791666667,13.031001041666666,11.07,13.073,11.8125,11.25,0.47568838371963335,10.916145833333333,12.708333333333334,10.5,12.5,0.36325,0.569,0.1236399818371697,0.09291354166666665,0.5923385416666666,0.075,0.571,89.40154166666666,88.5505,0.5260473265587323,88.44894062499999,90.29403020833333,88.289,89.88419999999998,1
24,11.195374999999999,11.07,0.36575541647796683,10.465041666666666,11.925626041666668,10.069,12.3225,10.791666666666666,10.75,0.34436018526837225,10.166666666666666,11.479166666666666,10.0,11.5,0.40370833333333334,0.5694999999999999,0.10731827375167124,0.17479166666666665,0.6121697916666666,0.07,0.5714999999999999,92.36037499999999,92.428,0.22709382288630406,91.95457083333332,92.76566875,91.90859999999999,92.938,1
25,14.511875000000002,15.576,0.47673511586358286,13.510665625000001,15.367683333333334,15.075,16.076,14.0625,15.0,0.45276175470299956,13.125,14.854687499999999,14.5,15.5,0.449375,0.576,0.07545071845155003,0.28224895833333336,0.5755010416666666,0.569,0.576,96.19383333333333,96.469,0.2589477849181367,95.65236770833334,96.69302499999998,95.468,96.968,1
26,16.9105,17.077,0.18240384602161827,16.55604166666667,17.244042708333335,16.577,17.578,16.375,16.5,0.17354467327805947,16.061979166666667,16.708333333333332,16.0,17.0,0.5355,0.577,0.05144086938882605,0.4314583333333333,0.639625,0.5764875,0.578,97.52316666666667,97.71199999999999,0.21190915016276524,97.10874583333332,97.91571041666666,96.968,98.453,1
27,16.28475,16.076,0.20192548893022436,15.930166666666667,16.639376041666665,15.576,17.077,15.895833333333334,15.5,0.21488783446478815,15.5,16.313020833333333,15.0,16.5,0.38891666666666663,0.576,0.058746381839455034,0.28445729166666667,0.49316770833333323,0.078,0.576,98.55433333333333,98.6995,0.15417715984657926,98.266125,98.86233645833333,97.96,98.946,1
28,15.054416666666668,14.825,0.18196220061235485,14.699916666666667,15.388084375,14.575,15.576,14.8125,14.5,0.1946115138021074,14.4375,15.1875,14.25,15.0,0.24191666666666664,0.076,0.05761494235114362,0.13791666666666666,0.34641874999999994,0.075,0.575,99.00474999999999,98.946,0.18568695655143205,98.65591666666667,99.35283645833333,98.946,99.436,1
29,12.780791666666667,13.073,0.4745172603386515,11.862994791666667,13.719421874999998,12.072,14.074,12.375,12.5,0.4780034715779581,11.395312500000001,13.208333333333334,11.0,13.5,0.4057916666666667,0.32249999999999995,0.07777743653953784,0.2794552083333333,0.5521677083333333,0.075,0.573,99.82241666666668,99.926,0.1348088275593353,99.55762187499998,100.10700312500002,99.436,100.1695,1
30,10.152208333333334,9.317499999999999,0.3625418565498388,9.463665625,10.862186458333333,9.067,11.07,9.625,9.0,0.3244979399680039,9.041145833333333,10.25,8.5,10.75,0.5272083333333333,0.567,0.07945981527386964,0.36119999999999997,0.6730510416666666,0.566,0.57,100.45229166666667,100.6565,0.1549846822628326,100.14783020833332,100.736959375,100.1695,100.9,1
31,12.301208333333335,13.073,0.308808585823225,11.67525,12.885375000000002,12.5729875,13.073,11.75,12.5,0.2886751345948129,11.145833333333334,12.270833333333334,12.25,12.5,0.5512083333333333,0.573,0.07060471150593103,0.40537291666666664,0.6767104166666666,0.5705,0.573,101.12066666666665,101.384,0.12394902626124622,100.85795312500001,101.34329270833334,100.9,101.384,1
32,13.719624999999999,14.074,0.1020624952851956,13.511083333333334,13.907291666666666,13.574,14.074,13.229166666666666,13.5,0.10842735607720831,13.020833333333334,13.4375,13.0,13.5,0.4904583333333332,0.574,0.04915050013628898,0.40695729166666667,0.5945833333333332,0.573,0.574,100.08679166666667,99.926,0.15156575292838698,99.802125,100.37120833333334,99.926,100.413,1
33,15.4715,15.576,0.14440613018422255,15.179582291666668,15.742541666666668,15.576,16.076,15.083333333333334,15.5,0.12650065398620358,14.854166666666666,15.291666666666666,15.0,15.5,0.3881666666666666,0.576,0.05052731599675317,0.2838739583333333,0.47170833333333323,0.076,0.576,97.977125,97.96,0.2112136969278452,97.5856625,98.38717708333333,97.464,98.453,1
34,14.95004166666667,15.3255,0.2578312733246824,14.470373958333333,15.429709374999998,14.575,16.076,14.458333333333334,14.75,0.24061490269924304,14.0,14.916666666666666,14.0,15.5,0.49170833333333325,0.576,0.0492430926211354,0.3873739583333333,0.5755010416666667,0.575,0.576,98.09620833333334,97.96,0.32401248510547775,97.50090416666667,98.71488333333333,96.968,98.6995,1
35,16.117791666666665,17.077,0.5809494539462611,14.949398958333333,17.244394791666664,14.825000000000001,17.578,15.875,16.75,0.6028690462749948,14.729166666666666,17.145833333333332,14.75,17.5,0.24279166666666663,0.078,0.07158280345588502,0.09691249999999998,0.36787604166666665,0.0775,0.577,87.53141666666666,83.517,1.9902309502179178,83.60196041666666,91.40197083333332,82.979,84.588,1
36,17.277199999999997,18.328,0.4554912420441774,16.4265,18.077951249999998,15.3255,19.079,16.9,18.0,0.47655562441114335,15.95,17.775,14.75,18.5,0.37720000000000004,0.575,0.06678053608649753,0.2519475,0.5016525000000001,0.079,0.578,88.84365000000001,92.172,1.1736042466535126,86.45942000000001,91.01818625,82.979,92.938,1
0,11.610375,11.840499999999999,0.34038348371699656,10.942582291666666,12.278209375,10.337499999999999,12.591,10.8125,10.75,0.38987700122853686,10.083333333333334,11.5,9.5,12.0,0.797875,0.5914999999999999,0.09922800403323798,0.6104520833333333,1.0055427083333333,0.587,1.0865125,78.87779166666667,82.19300000000001,1.2947152546039722,76.33811250000001,81.30075,80.859,82.989,2
1,10.963416666666665,11.59,0.4769903681336454,10.086830208333334,11.777416666666667,11.089,12.591,10.375,10.75,0.4343181395898767,9.541666666666666,11.166666666666666,10.5,11.5,0.5884166666666667,0.591,0.1706150204563303,0.27333958333333375,0.9225458333333333,0.33599999999999997,1.091,84.43295833333333,84.571,0.32748968054970196,83.82115416666667,84.99653645833335,83.518,85.1010125,2
